ID,Resource Name,URL,Primary Category,Subcategory,Target Age/Level,Main Language(s),Access Type,Best For,Keywords,Notes
107,Smithsonian Learning Lab,https://learninglab.si.edu/,Articles & Text Sets,Museum learning collections,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","museum, history, science, art, primary sources",Some classroom platforms require a free account.
108,National Archives DocsTeach,https://www.docsteach.org/,Articles & Text Sets,Primary source activities,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","primary sources, history, documents, civics, analysis",Some classroom platforms require a free account.
109,Facing History & Ourselves,https://www.facinghistory.org/resource-library,Articles & Text Sets,History and civic texts,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","history, civics, ethics, identity, social studies",Some classroom platforms require a free account.
110,Learning for Justice,https://www.learningforjustice.org/classroom-resources,Articles & Text Sets,Social justice readings,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","social justice, civics, literacy, discussion, diversity",Some classroom platforms require a free account.
111,Poetry Foundation,https://www.poetryfoundation.org/,Articles & Text Sets,Poetry and literature,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","poetry, literature, poems, poets, essays",Some classroom platforms require a free account.
112,Poets.org,https://poets.org/,Articles & Text Sets,Poetry archive,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","poetry, poems, literature, poets, lessons",Some classroom platforms require a free account.
113,Poetry 180,https://www.loc.gov/programs/poetry-and-literature/poet-laureate/poet-laureate-projects/poetry-180/,Articles & Text Sets,Poetry for students,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","poetry, high school, literature, daily reading",Some classroom platforms require a free account.
114,Bartleby,https://www.bartleby.com/,Articles & Text Sets,Classic reference and literature,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","poetry, essays, classics, reference, literature",Some classroom platforms require a free account.
115,The Marginalian,https://www.themarginalian.org/,Articles & Text Sets,Literary and philosophical essays,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","essays, books, philosophy, art, literature",Some classroom platforms require a free account.
116,Aeon Essays,https://aeon.co/essays,Articles & Text Sets,Long-form essays,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","longform, essays, philosophy, psychology, culture",Some classroom platforms require a free account.
117,Nautilus,https://nautil.us/,Articles & Text Sets,Science essays,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","science, essays, philosophy, longform, culture",Some classroom platforms require a free account.
118,Longreads,https://longreads.com/,Articles & Text Sets,Long-form article curation,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","longform, journalism, essays, nonfiction",Some classroom platforms require a free account.
119,Arts and Letters Daily,https://aldaily.com/,Articles & Text Sets,Essay curation,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","essays, criticism, books, culture, philosophy",Some classroom platforms require a free account.
120,Common Sense Education Articles,https://www.commonsense.org/education/articles,Articles & Text Sets,Digital literacy articles,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","digital literacy, media literacy, internet safety, students",Some classroom platforms require a free account.
121,MediaSmarts,https://mediasmarts.ca/,Articles & Text Sets,Media literacy,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","media literacy, digital literacy, critical thinking, internet",Some classroom platforms require a free account.
122,Civic Online Reasoning,https://cor.stanford.edu/,Articles & Text Sets,Media literacy curriculum,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","media literacy, source evaluation, critical thinking, misinformation",Some classroom platforms require a free account.
123,Stanford History Education Group,https://sheg.stanford.edu/history-lessons,Articles & Text Sets,History lessons,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","history, primary sources, sourcing, literacy",Some classroom platforms require a free account.
124,DOAJ,https://doaj.org/,Academic & Research,Open-access journals,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","DOAJ, journals, research, open access, academic",Full text availability varies by item.
125,DOAJ Article Search,https://doaj.org/search/articles,Academic & Research,Open-access article search,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","article search, journals, open access, research papers",Full text availability varies by item.
126,Google Scholar,https://scholar.google.com/,Academic & Research,Academic search,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","academic search, papers, citations, theses, research",Full text availability varies by item.
127,CORE,https://core.ac.uk/,Academic & Research,Open-access papers,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","research papers, open access, repositories, academic",Full text availability varies by item.
128,arXiv,https://arxiv.org/,Academic & Research,Preprints,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","preprints, AI, computer science, math, physics, research",Full text availability varies by item.
129,PubMed Central,https://pmc.ncbi.nlm.nih.gov/,Academic & Research,Biomedical full text,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","medicine, health, biology, biomedical, full text",Full text availability varies by item.
130,PubMed,https://pubmed.ncbi.nlm.nih.gov/,Academic & Research,Biomedical literature search,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","medicine, health, abstracts, research, PubMed",Full text availability varies by item.
131,ERIC,https://eric.ed.gov/,Academic & Research,Education research,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","education, research, teaching, policy, ERIC",Full text availability varies by item.
132,BASE,https://www.base-search.net/,Academic & Research,Academic search engine,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","academic search, open access, repositories, papers",Full text availability varies by item.
133,OpenAlex,https://openalex.org/,Academic & Research,Scholarly database,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","research database, papers, authors, citations, metadata",Full text availability varies by item.
134,Semantic Scholar,https://www.semanticscholar.org/,Academic & Research,Academic search,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","papers, citations, AI, research search, summaries",Full text availability varies by item.
135,SSRN,https://www.ssrn.com/,Academic & Research,Working papers,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","working papers, economics, law, social science",Full text availability varies by item.
136,RePEc,https://repec.org/,Academic & Research,Economics research index,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","economics, research, working papers, RePEc",Full text availability varies by item.
137,IDEAS/RePEc,https://ideas.repec.org/,Academic & Research,Economics research database,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","economics, papers, research, citations, working papers",Full text availability varies by item.
138,EconPapers,https://econpapers.repec.org/,Academic & Research,Economics paper search,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","economics, research, articles, working papers",Full text availability varies by item.
139,HAL Open Science,https://hal.science/,Academic & Research,Open repository,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","open science, repository, research, France, papers",Full text availability varies by item.
140,Zenodo,https://zenodo.org/,Academic & Research,Open research repository,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","open research, datasets, papers, software, DOI",Full text availability varies by item.
141,OSF Preprints,https://osf.io/preprints/,Academic & Research,Preprints,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","preprints, open science, social science, psychology",Full text availability varies by item.
142,SocArXiv,https://osf.io/preprints/socarxiv,Academic & Research,Social science preprints,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","social science, sociology, preprints, research",Full text availability varies by item.
143,PsyArXiv,https://osf.io/preprints/psyarxiv,Academic & Research,Psychology preprints,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","psychology, preprints, research, open science",Full text availability varies by item.
144,bioRxiv,https://www.biorxiv.org/,Academic & Research,Biology preprints,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","biology, preprints, life sciences, research",Full text availability varies by item.
145,medRxiv,https://www.medrxiv.org/,Academic & Research,Medical preprints,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","medicine, health, preprints, clinical research",Full text availability varies by item.
146,ChemRxiv,https://chemrxiv.org/,Academic & Research,Chemistry preprints,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","chemistry, preprints, research, open science",Full text availability varies by item.
147,NASA ADS,https://ui.adsabs.harvard.edu/,Academic & Research,Astronomy and physics research,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","astronomy, astrophysics, physics, research, papers",Full text availability varies by item.
148,PhilPapers,https://philpapers.org/,Academic & Research,Philosophy research index,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","philosophy, research, papers, bibliography",Full text availability varies by item.
149,OpenDOAR,https://v2.sherpa.ac.uk/opendoar/,Academic & Research,Repository directory,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","repositories, open access, research discovery",Full text availability varies by item.
150,ROAR,http://roar.eprints.org/,Academic & Research,Repository registry,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","repository, open access, research, institutional archive",Full text availability varies by item.
151,WorldWideScience,https://worldwidescience.org/,Academic & Research,Global science search,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","science, research, global, academic search",Full text availability varies by item.
152,Science.gov,https://www.science.gov/,Academic & Research,US government science search,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","science, government, research, reports, STEM",Full text availability varies by item.
153,ClinicalTrials.gov,https://clinicaltrials.gov/,Academic & Research,Clinical trial registry,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","clinical trials, medicine, health research, registry",Full text availability varies by item.
154,Cochrane Evidence Essentials,https://training.cochrane.org/essentials,Academic & Research,Evidence literacy,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","evidence, research literacy, health, systematic reviews",Full text availability varies by item.
155,OpenAIRE Explore,https://explore.openaire.eu/,Academic & Research,European research discovery,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","open access, Europe, research, datasets, publications",Full text availability varies by item.
156,LA Referencia,https://www.lareferencia.info/,Academic & Research,Latin American open research,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","Latin America, open access, Spanish, Portuguese, research",Full text availability varies by item.
157,Open Access Theses and Dissertations,https://oatd.org/,Academic & Research,Theses and dissertations,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","theses, dissertations, open access, research",Full text availability varies by item.
158,EThOS,https://ethos.bl.uk/,Academic & Research,UK doctoral theses,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","theses, dissertations, UK, research",Full text availability varies by item.
159,PQDT Open,https://pqdtopen.proquest.com/,Academic & Research,Open dissertations,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","dissertations, theses, research, open access",Full text availability varies by item.
160,NDLTD,http://www.ndltd.org/,Academic & Research,Theses and dissertations,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","theses, dissertations, global, research",Full text availability varies by item.
161,Biodiversity Heritage Library,https://www.biodiversitylibrary.org/,Academic & Research,Biodiversity literature,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","biodiversity, biology, natural history, books, journals",Full text availability varies by item.
162,nLab,https://ncatlab.org/nlab/show/HomePage,Academic & Research,Advanced math and physics wiki,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","math, category theory, physics, wiki, advanced",Full text availability varies by item.
163,Math Stack Exchange,https://math.stackexchange.com/,Academic & Research,Math Q&A archive,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","math, Q&A, explanations, problem solving",Full text availability varies by item.
164,Crossref Metadata Search,https://search.crossref.org/,Academic & Research,Research metadata,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","DOI, citations, metadata, academic search",Full text availability varies by item.
165,ORCID,https://orcid.org/,Academic & Research,Researcher profiles,"College, academic, advanced high school","Mostly English, many multilingual",Open access / free search / mixed full-text access,"Research papers, journals, theses, scholarly books","ORCID, researchers, author profiles, publications",Full text availability varies by item.
166,OpenStax,https://openstax.org/,Open Textbooks & Courses,Free textbooks,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","textbooks, open education, college, science, math, business",Some certificates or extras may cost money.
167,Open Textbook Library,https://open.umn.edu/opentextbooks,Open Textbooks & Courses,Open textbook index,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","open textbooks, college, OER, textbooks",Some certificates or extras may cost money.
168,LibreTexts,https://libretexts.org/,Open Textbooks & Courses,Open textbook platform,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","LibreTexts, OER, textbooks, chemistry, math, biology",Some certificates or extras may cost money.
169,CK-12,https://www.ck12.org/student/,Open Textbooks & Courses,K-12 learning resources,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","K-12, STEM, math, science, textbooks, practice",Some certificates or extras may cost money.
170,Saylor Academy Books,https://www.saylor.org/books/,Open Textbooks & Courses,Free textbooks,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","textbooks, courses, college, business, computer science",Some certificates or extras may cost money.
171,BCcampus OpenEd,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/,Open Textbooks & Courses,Open textbooks,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","open textbooks, OER, college, Canada",Some certificates or extras may cost money.
172,MERLOT,https://www.merlot.org/,Open Textbooks & Courses,OER search,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","OER, learning materials, textbooks, simulations",Some certificates or extras may cost money.
173,OER Commons,https://www.oercommons.org/,Open Textbooks & Courses,OER repository,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","OER, lesson plans, textbooks, education, open resources",Some certificates or extras may cost money.
174,MIT OpenCourseWare,https://ocw.mit.edu/,Open Textbooks & Courses,Course materials,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","MIT, courses, lectures, textbooks, engineering, computer science",Some certificates or extras may cost money.
175,OpenLearn,https://www.open.edu/openlearn/,Open Textbooks & Courses,Free courses and articles,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","free courses, Open University, learning, study",Some certificates or extras may cost money.
176,Wikibooks,https://www.wikibooks.org/,Open Textbooks & Courses,Open textbooks,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","textbooks, open content, Wikibooks, study",Some certificates or extras may cost money.
177,Wikiversity,https://www.wikiversity.org/,Open Textbooks & Courses,Open learning projects,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","learning resources, open education, study, courses",Some certificates or extras may cost money.
178,Open Yale Courses,https://oyc.yale.edu/,Open Textbooks & Courses,Course materials,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","Yale, courses, lectures, humanities, science",Some certificates or extras may cost money.
179,Carnegie Mellon Open Learning Initiative,https://oli.cmu.edu/,Open Textbooks & Courses,Interactive courses,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","online courses, learning, statistics, STEM, psychology",Some certificates or extras may cost money.
180,Lumen Learning Open Courses,https://courses.lumenlearning.com/,Open Textbooks & Courses,Open courseware,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","OER, college courses, textbooks, open learning",Some certificates or extras may cost money.
181,Pressbooks Directory,https://pressbooks.directory/,Open Textbooks & Courses,Open textbook directory,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","Pressbooks, open textbooks, OER, textbooks",Some certificates or extras may cost money.
182,Open SUNY Textbooks,https://milneopentextbooks.org/,Open Textbooks & Courses,Open textbooks,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","open textbooks, SUNY, college, OER",Some certificates or extras may cost money.
183,GALILEO Open Learning Materials,https://oer.galileo.usg.edu/,Open Textbooks & Courses,Open education repository,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","OER, textbooks, higher education, Georgia",Some certificates or extras may cost money.
184,SkillsCommons,https://www.skillscommons.org/,Open Textbooks & Courses,Workforce OER,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","career, workforce, OER, training, skills",Some certificates or extras may cost money.
185,Curriki,https://www.curriki.org/,Open Textbooks & Courses,K-12 OER,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","K-12, curriculum, OER, lessons",Some certificates or extras may cost money.
186,NROC Project,https://nroc.org/,Open Textbooks & Courses,Open course content,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","college readiness, math, English, OER",Some certificates or extras may cost money.
187,Open Michigan,https://open.umich.edu/,Open Textbooks & Courses,Open educational resources,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","open education, OER, university, learning",Some certificates or extras may cost money.
188,Siyavula,https://www.siyavula.com/,Open Textbooks & Courses,Math and science textbooks,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","math, science, textbooks, high school, South Africa",Some certificates or extras may cost money.
189,PhET Interactive Simulations,https://phet.colorado.edu/,Open Textbooks & Courses,STEM simulations,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","physics, chemistry, math, simulations, STEM",Some certificates or extras may cost money.
190,Khan Academy,https://www.khanacademy.org/,Open Textbooks & Courses,Educational articles and lessons,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","learning, articles, math, science, history, practice",Some certificates or extras may cost money.
191,Marginal Revolution University,https://mru.org/,Open Textbooks & Courses,Economics courses,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","economics, business, finance, courses, social science",Some certificates or extras may cost money.
192,World History Encyclopedia,https://www.worldhistory.org/,Open Textbooks & Courses,History articles,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","world history, ancient history, culture, civilizations",Some certificates or extras may cost money.
193,Open Geography Education,https://www.opengeography.org/,Open Textbooks & Courses,Geography textbooks,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","geography, textbooks, maps, human geography",Some certificates or extras may cost money.
194,Programming Historian,https://programminghistorian.org/,Open Textbooks & Courses,Digital humanities lessons,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","digital humanities, coding, research, history, tutorials",Some certificates or extras may cost money.
195,Big History Project,https://www.oerproject.com/Big-History,Open Textbooks & Courses,History curriculum,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","history, science, curriculum, world history, big history",Some certificates or extras may cost money.
196,World History Project,https://www.oerproject.com/World-History,Open Textbooks & Courses,World history curriculum,"High school, college, self-learners","Mostly English, some multilingual",Free / open educational resources / free account optional,"Textbooks, course notes, structured learning","world history, curriculum, articles, literacy",Some certificates or extras may cost money.
197,James Clear Articles,https://jamesclear.com/articles,Self-Improvement & Career,Habits and productivity,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","self improvement, habits, productivity, motivation, discipline",Use advice critically and adapt to context.
198,Zen Habits,https://zenhabits.net/,Self-Improvement & Career,Mindfulness and habits,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","habits, mindfulness, simplicity, focus, self improvement",Use advice critically and adapt to context.
199,Mark Manson Articles,https://markmanson.net/articles,Self-Improvement & Career,Life advice essays,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","mindset, life advice, self improvement, values, motivation",Use advice critically and adapt to context.
200,MindTools,https://www.mindtools.com/,Self-Improvement & Career,Career skills,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","career skills, leadership, productivity, communication, management",Use advice critically and adapt to context.
201,Verywell Mind,https://www.verywellmind.com/,Self-Improvement & Career,Mental health articles,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","psychology, mental health, wellbeing, stress, habits",Use advice critically and adapt to context.
202,Greater Good Magazine,https://greatergood.berkeley.edu/,Self-Improvement & Career,Psychology and wellbeing,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","happiness, psychology, wellbeing, relationships, mindfulness",Use advice critically and adapt to context.
203,TED Ideas,https://ideas.ted.com/,Self-Improvement & Career,Ideas and personal growth,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","ideas, creativity, career, society, life skills",Use advice critically and adapt to context.
204,Lifehack,https://www.lifehack.org/,Self-Improvement & Career,Productivity articles,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","productivity, study tips, motivation, time management",Use advice critically and adapt to context.
205,StudySmarter Magazine,https://www.studysmarter.co.uk/magazine/,Self-Improvement & Career,Study advice,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","study tips, exams, learning, productivity, students",Use advice critically and adapt to context.
206,Coursera Articles,https://www.coursera.org/articles,Self-Improvement & Career,Career and learning articles,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","career, learning, skills, jobs, online courses",Use advice critically and adapt to context.
207,edX Blog,https://www.edx.org/blog,Self-Improvement & Career,Learning and career articles,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","career, learning, online education, skills",Use advice critically and adapt to context.
208,HBR Ascend,https://hbrascend.org/,Self-Improvement & Career,Career and business articles,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","career, leadership, workplace, business, early career",Use advice critically and adapt to context.
209,Farnam Street Blog,https://fs.blog/blog/,Self-Improvement & Career,Mental models and decision making,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","mental models, decision making, learning, thinking",Use advice critically and adapt to context.
210,HelpGuide,https://www.helpguide.org/,Self-Improvement & Career,Mental health and wellbeing,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","mental health, stress, anxiety, wellbeing, relationships",Use advice critically and adapt to context.
211,Mindful.org,https://www.mindful.org/,Self-Improvement & Career,Mindfulness articles,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","mindfulness, meditation, stress, wellbeing",Use advice critically and adapt to context.
212,Indeed Career Guide,https://www.indeed.com/career-advice,Self-Improvement & Career,Career advice,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","career, resume, interview, job search, workplace",Use advice critically and adapt to context.
213,The Muse Career Advice,https://www.themuse.com/advice,Self-Improvement & Career,Career articles,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","career, jobs, interview, resume, workplace",Use advice critically and adapt to context.
214,CareerFoundry Blog,https://careerfoundry.com/en/blog/,Self-Improvement & Career,Tech career advice,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","career switch, tech careers, UX, data, web development",Use advice critically and adapt to context.
215,Buffer Library,https://buffer.com/library/,Self-Improvement & Career,Marketing and productivity,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","marketing, social media, productivity, business",Use advice critically and adapt to context.
216,HubSpot Blog,https://blog.hubspot.com/,Self-Improvement & Career,Business and marketing articles,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","marketing, business, sales, content, career",Use advice critically and adapt to context.
217,Investopedia,https://www.investopedia.com/,Self-Improvement & Career,Finance education,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","finance, investing, economics, money, business",Use advice critically and adapt to context.
218,Federal Reserve Education,https://www.federalreserveeducation.org/,Self-Improvement & Career,Economics and finance education,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","economics, finance, money, literacy, students",Use advice critically and adapt to context.
219,FRED Blog,https://fredblog.stlouisfed.org/,Self-Improvement & Career,Economic data articles,"Teens, adults, professionals",Mostly English,Free articles / free tier / paid extras optional,"Habits, productivity, career skills, wellbeing","economics, data, charts, macroeconomics, FRED",Use advice critically and adapt to context.
